Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
jinetic                         9.30%   4.65%     4.65%     4.65%   6.98%    4.65%   4.65%   2.33%     0.00%   4.65%    2.33%     2.33%   13.95%    6.98%    4.65%    4.65%      0.00%     0.00%    9.30%    9.30%     0.00%
Joez                            0.00%   7.14%     7.14%     0.00%   0.00%    7.14%   7.14%  21.43%     0.00%   0.00%    7.14%     0.00%    7.14%    7.14%    0.00%    0.00%     14.29%     7.14%    7.14%    0.00%     0.00%
josiemccoy                      6.67%  13.33%     6.67%     6.67%   6.67%    6.67%   6.67%   0.00%    13.33%   0.00%    6.67%     0.00%   13.33%    0.00%    0.00%    6.67%      0.00%     0.00%    0.00%    6.67%     0.00%
juliusb                        18.18%   9.09%     0.00%     0.00%   9.09%    0.00%   0.00%   0.00%     0.00%   0.00%    9.09%    18.18%    0.00%    0.00%    9.09%   18.18%      0.00%     0.00%    9.09%    0.00%     0.00%
jyaty                           7.20%   1.60%     2.40%     6.40%   0.00%   12.00%   2.40%   4.80%     6.40%   0.00%    4.80%     8.00%    9.60%    3.20%    6.40%    4.00%      3.20%     6.40%    3.20%    5.60%     2.40%
kaplow                          0.00%   0.00%    16.67%    16.67%   0.00%   16.67%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%   16.67%   16.67%    0.00%    0.00%      0.00%     0.00%    0.00%   16.67%     0.00%
kcmmmmm                         2.61%   9.57%     3.48%     7.83%   3.48%    5.22%   4.35%   5.22%     3.48%  10.43%    7.83%     1.74%    3.48%    9.57%    4.35%    4.35%      3.48%     0.87%    0.00%    8.70%     0.00%
Kmars133                        5.06%  10.13%     1.27%     7.59%   2.53%    3.80%   2.53%   3.80%     5.06%   1.27%   10.13%     5.06%    7.59%    7.59%    2.53%    8.86%      2.53%     3.80%    1.27%    2.53%     5.06%
Kotte                           0.00%   1.20%     0.00%    15.66%   0.00%    4.82%   6.02%   6.02%     0.00%   4.82%    4.82%     6.02%    1.20%    9.64%    7.23%    0.00%      8.43%     7.23%    0.00%   16.87%     0.00%
krazycaley                      6.75%   4.91%     4.29%     4.91%   4.29%    6.13%   3.68%   4.29%     3.68%  11.04%    4.29%     6.13%    4.91%    6.13%    6.13%    1.23%      6.13%     4.91%    1.84%    2.45%     1.84%
